Comment,Designator,Footprint,LCSC Part #,MPN
100nF,"C1,C2,C3,C4,C5",C0603,C14663,CC0603KRX7R9BB104
10uF,"C8,C10,C11",C0805,C15850,CL21A106KAYNNNE
1uF,"C6,C7",C0603,C15849,CL10A105KB8NNNC
22uF tantalum,C9,CASE-A_3216,C11366,TAJA226K010RNJ
USBLC6-2SC6,D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2687116,USBLC6-2SC6
USB-C 16P,J1,USB-C_SMD-TYPE-C-31-M-12_1,C165948,TYPE-C-31-M-12
UART 1x4,J4,HDR-TH_4P-P2.54-V-M,C124378,B-2100S04P-A110
KT-0603R,"LED1,LED2",LED-SMD_L1.6-W0.8-R-RD,C2286,KT-0603R
10k,"R1,R2,R10",R0603,C25804,0603WAF1002T5E
5.1k,"R3,R4",R0603,C23186,0603WAF5101T5E
4.7k,"R5,R6",R0603,C23162,0603WAF4701T5E
1k,R7,R0603,C21190,0603WAF1001T5E
330R,"R8,R9",R0603,C23138,0603WAF3300T5E
TS-1088-AR02016,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,C720477,TS-1088-AR02016
ESP32-S3-MINI-1-N8,U1,BULETM-SMD_ESP32-S3-MINI-1-N8,C2913206,ESP32-S3-MINI-1-N8
AMS1117-3.3,U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,AMS1117-3.3
SCD41-D-R2,U3,LGA-20_L10.1-W10.1-P1.25-TL_SCD41-D-R2,C3659294,SCD41-D-R2
BH1750FVI-TR,U4,WSOF-6_L2.6-W1.6-P0.50-TL-EP,C78960,BH1750FVI-TR
